字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
支,dzi1,章移,章,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
廳,thian1,他丁,透,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
不,but7,,幫,,上,開,流,三等,,,,,,,,,,,,,,,,,,,
太,thai6,他蓋,透,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
犬,khuen4,苦泫,溪,先,上,合,山,四等,,,,,,,,,,,,,,,,,,,
區,khu1 ou1,豈俱,溪,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
區,eu1,烏侯,影,侯,平,開,流,一等,,,,,,,,,,,,,,,,,,,
曆,leik7,豈俱,來,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
尤,iu2,羽求,云,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
友,iu3,云久,云,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
匹,phit7,譬吉,滂,質,入,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
車,tshia1,尺遮,昌,麻,平,開,假,三等,,,,,,,,,,,,,,,,,,,
巨,gv3,其吕,群,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
牙,nga2,五加,疑,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
屯,dun2,徒渾,定,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
比,bi4,必至,幫,脂,上,開,止,重钮四等,,,,,,,,,,,,,,,,,,,
互,o5,胡誤,匣,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
切,tshiat7,七結,清,屑,入,開,山,四等,另有齊韻去聲,,,,,,,,,,,,,,,,,,
瓦,ngua3,七結,疑,麻,上,合,假,二等,,,,,,,,,,,,,,,,,,,
止,dzi4,五寡,章,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
少,sieu4 sieu6,書沼,書,宵,上,開,效,三等,,,,,,,,,,,,,,,,,,,
