字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
羨,zien5 ien5,似面,邪,仙,去,開,山,三等,,,,,,,,,,,,,,,,,,,
羨,ien5,予線,以,仙,去,開,山,三等,,,,,,,,,,,,,,,,,,,
普,pho4,滂古,滂,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
糞,fun5,方問,非,文,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
尊,dzun1,祖昆,精,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
道,dau3,徒晧,定,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
曾,dzan2 dzan1,作縢,精,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
曾,zan1,昨棱,從,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
焰,iem5,以贍,以,鹽,去,開,咸,三等,或可作6聲,,,,,,,,,,,,,,,,,,
港,gong4,古項,見,江,上,開,江,二等,,,,,,,,,,,,,,,,,,,
湖,o2,户吳,匣,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
渣,dza1,側加,莊,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
濕,sip7,失入,書,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,
溫,un1,烏渾,影,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
渴,khat7,苦曷,溪,曷,入,開,山,一等,,,,,,,,,,,,,,,,,,,
滑,guat7,古忽,見,没,入,合,臻,一等,,,,,,,,,,,,,,,,,,,
灣,uang1,烏關,影,删,平,合,山,二等,,,,,,,,,,,,,,,,,,,
渡,do5,徒故,定,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
遊,iu2,以周,以,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
滋,dzi1,子之,精,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
溉,gai6,古代,見,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
溉,gi6,居豙,見,微,去,開,止,三等,,,,,,,,,,,,,,,,,,,
憤,vun3,房吻,奉,文,上,合,臻,三等,,,,,,,,,,,,,,,,,,,
慌,hong1,呼光,曉,唐,平,合,宕,一等,,,,,,,,,,,,,,,,,,,
惰,dua3,徒果,定,戈,上,合,果,一等,另有去聲,,,,,,,,,,,,,,,,,,
愧,khui6,俱位,見,脂,去,合,止,重钮三等,自擬音修正為kh聲母,,,,,,,,,,,,,,,,,,
愉,iju2,羊朱,以,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
慨,khai6,苦蓋,溪,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
割,gat7,古達,見,曷,入,開,山,一等,,,,,,,,,,,,,,,,,,,
寒,ang2,胡安,匣,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
富,fiu6,方副,非,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
竄,tshuang6,七亂,清,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
窩,ua1,烏禾,影,戈,平,合,果,一等,,,,,,,,,,,,,,,,,,,
窗,tshong1,楚江,初,江,平,開,江,二等,,,,,,,,,,,,,,,,,,,
遍,bien6,方見,幫,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
裕,iu5,羊戍,以,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
褲,kho6,苦故,溪,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
裙,gun2,渠云,群,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
謝,zia5,辝夜,邪,麻,去,開,假,三等,,,,,,,,,,,,,,,,,,,
謠,ieu2,餘昭,以,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
謙,khiem1,苦兼,溪,添,平,開,咸,四等,,,,,,,,,,,,,,,,,,,
屬,zok7,市玉,禪,燭,入,合,通,三等,,,,,,,,,,,,,,,,,,,
屢,lu5,良遇,來,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
強,gioong2 gioong4,巨良,群,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
強,gioong4,其兩,群,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,
粥,dzouk7,之六,章,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
疏,sv1,所葅,生,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
隔,gak7,古核,見,麥,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
隙,khiak7,綺戟,溪,陌,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
絮,sv6,息據,心,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
嫂,sau4,蘇老,心,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
登,dan1,都縢,端,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
緞,duang6,徒玩,定,桓,去,合,山,一等,另有上聲,,,,,,,,,,,,,,,,,,
緩,uang4,胡管,匣,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
編,bien1,布玄,幫,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
騙,phien6,匹戰,滂,仙,去,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
緣,iuen2,與專,以,仙,平,合,山,三等,,,,,,,,,,,,,,,,,,,
瑞,zui5,是僞,禪,支,去,合,止,三等,,,,,,,,,,,,,,,,,,,
魂,un2,戸昆,匣,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
肆,si6,息利,心,脂,去,開,止,三等,,,,,,,,,,,,,,,,,,,
攝,siap7,書涉,書,葉,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
摸,mok7,慕各,明,鐸,入,開,宕,一等,佳例，各方言皆為o韻,,,,,,,,,,,,,,,,,,
填,dien2,徒年,定,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
搏,bok7,補各,幫,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
塌,thap7,託盍,透,盍,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
鼓,go4,公戸,見,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
擺,bai4,北買,幫,佳,上,開,蟹,二等,,,,,,,,,,,,,,,,,,,
攜,ei2,戸圭,匣,齊,平,合,蟹,四等,,,,,,,,,,,,,,,,,,,
搬,buang1,北潘,幫,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
搖,ieu2,餘昭,以,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
搞,gao4,古巧,見,肴,上,開,效,二等,,,,,,,,,,,,,,,,,,,
塘,dong2,徒郎,定,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
攤,thang1,他干,透,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
攤,無載,奴但,泥,,上,開,山,一等,公公納兒稱呼來歷？,,,,,,,,,,,,,,,,,,
蒜,suang6,蘇貫,心,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
勤,gian2,巨斤,群,欣,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
鵲,tshok8,七雀,清,藥,入,開,宕,三等,,,,,,,,,,,,,,,,,,,
藍,lam2,魯甘,來,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
墓,mo5,莫故,明,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
幕,mok7,慕各,明,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
蓬,baong2,薄紅,並,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
蓄,tshouk7,丑六,徹,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
蒙,maong2,莫紅,明,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
蒸,dzan1,煑仍,章,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
獻,hien6,許建,曉,元,去,開,山,三等,,,,,,,,,,,,,,,,,,,
禁,gim6 gim1,居蔭,見,侵,去,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
禁,gim1,居吟,見,侵,平,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
楚,tshv4,創舉,初,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
想,sioong4,息兩,心,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,
槐,uai2,戸恢,匣,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
榆,iv2,羊朱,以,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
樓,liu2 leu2,落侯,來,侯,平,開,流,一等,侯韻，但實際從尤韻,,,,,,,,,,,,,,,,,,
概,gai6,古代,見,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
賴,lai5,落蓋,來,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
酬,ziu2,市流,禪,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
感,gam4,古禫,見,覃,上,開,咸,一等,,,,,,,,,,,,,,,,,,,
礙,ngai6,五漑,疑,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
碑,bi1,彼爲,幫,支,平,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
碎,suai6,蘇内,心,灰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
碰,phaong6,,,,,,,,宋詩未見，自擬音,,,,,,,,,,,,,,,,,,
碗,uang4,烏管,影,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
碌,louk8,盧谷,來,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
雷,luai2,魯回,來,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
零,lian2,郎丁,來,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
霧,mu5,亡遇,微,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
雹,bok8,蒲角,並,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
輸,su1,式朱,書,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
督,dok7,冬毒,端,沃,入,合,通,一等,,,,,,,,,,,,,,,,,,,
齡,lian2,郎丁,來,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
鑒,gam6,格懺,見,銜,去,開,咸,二等,,,,,,,,,,,,,,,,,,,
睛,dzian1,子盈,精,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
睡,zui5,是僞,禪,支,去,合,止,三等,,,,,,,,,,,,,,,,,,,
睬,tshai4,倉宰,清,咍,上,開,蟹,一等,,,,,,,,,,,,,,,,,,,
鄙,bi4,方美,幫,脂,上,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
愚,ngu2,遇俱,疑,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
暖,nuang3,乃管,泥,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
盟,man2,武兵,明,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
歇,hiat7,許謁,曉,月,入,開,山,三等,,,,,,,,,,,,,,,,,,,
暗,am6,烏紺,影,覃,去,開,咸,一等,,,,,,,,,,,,,,,,,,,
照,dzieu6,之少,章,宵,去,開,效,三等,,,,,,,,,,,,,,,,,,,
跨,khua6,苦化,溪,麻,去,合,假,二等,,,,,,,,,,,,,,,,,,,
跳,thio6,他弔,透,蕭,去,開,效,四等,,,,,,,,,,,,,,,,,,,
跪,gui3,渠委,群,支,上,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
路,lo5,洛故,來,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
跟,gen1,古痕,見,痕,平,開,臻,一等,,,,,,,,,,,,,,,,,,,
遣,khien4,去演,溪,仙,上,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
蛾,nga2,五何,疑,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
蜂,faong1,敷容,敷,鍾,平,合,通,三等,鍾東重合例,,,,,,,,,,,,,,,,,,
嗓,song4,冩朗,心,唐,上,開,宕,一等,,,,,,,,,,,,,,,,,,,
置,dzi6,陟吏,知,之,去,開,止,三等,縉雲話put-置,,,,,,,,,,,,,,,,,,
罪,zuai3,徂賄,從,灰,上,合,蟹,一等,,,,,,,,,,,,,,,,,,,
罩,dzao6,都敎,知,肴,去,開,效,二等,,,,,,,,,,,,,,,,,,,
錯,tshok8 tsho6,倉各,清,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
錯,tsho6,倉故,清,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
錫,seik7,先擊,心,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
鑼,la2,魯何,來,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
錘,dzui2,直垂,澄,脂,平,合,止,三等,,,,,,,,,,,,,,,,,,,
錦,gim4,居飲,見,侵,上,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
鍵,gien3,其輦,群,仙,上,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
鍵,gien3,其偃,群,元,上,開,山,三等,,,,,,,,,,,,,,,,,,,
鋸,gv6,居御,見,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
矮,ai4,烏蟹,影,佳,上,開,蟹,二等,,,,,,,,,,,,,,,,,,,
辭,zi2,似兹,邪,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
稠,dziu2,直由,澄,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
愁,ziu2,士尤,崇,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
籌,dziu2,直由,澄,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
簽,tshiem1,七廉,清,鹽,平,開,咸,三等,,,,,,,,,,,,,,,,,,,
簡,gang4,古限,見,山,上,開,山,二等,,,,,,,,,,,,,,,,,,,
毀,hui4,許委,曉,支,上,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
舅,giu3,其九,群,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
鼠,sv4,舒吕,書,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
催,tshuai1,倉回,清,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
傻,sa4,沙瓦,生,麻,上,合,假,二等,,,,,,,,,,,,,,,,,,,
像,zioong3,徐兩,邪,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,
躲,dua4,丁果,端,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
微,mi1,無非,微,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
愈,iju3,以主,以,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
遙,ieu2,餘昭,以,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
腰,ieu1,於霄,影,宵,平,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
腥,sian1,桑經,心,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
腹,fouk7,方六,幫,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
騰,dan2,徒登,定,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
腿,thuai4,吐猥,透,灰,上,合,蟹,一等,,,,,,,,,,,,,,,,,,,
觸,tshok7,尺玉,昌,燭,入,合,通,三等,,,,,,,,,,,,,,,,,,,
解,gai4,佳買,見,佳,上,開,蟹,二等,,,,,,,,,,,,,,,,,,,
醬,dzioong6,子亮,精,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
痰,dam2,徒甘,定,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
廉,liem2,力鹽,來,鹽,平,開,咸,三等,,,,,,,,,,,,,,,,,,,
新,sen1,息鄰,心,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
韻,un5,王問,云,文,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
意,i6,於記,影,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
糧,lioong2,吕張,來,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
數,su4 su6 souk7,所矩,生,虞,上,合,遇,三等,動詞,,,,,,,,,,,,,,,,,,
數,su6,色句,生,虞,去,合,遇,三等,名詞,,,,,,,,,,,,,,,,,,
數,souk7,所角,生,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
煎,dzien1,子仙,精,仙,平,開,山,三等,,,,,,,,,,,,,,,,,,,
塑,so6,桑故,心,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
慈,zi2,疾之,從,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
煤,muai2,莫杯,明,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
煌,ong2,胡光,匣,唐,平,合,宕,一等,,,,,,,,,,,,,,,,,,,
滿,muang3,莫旱,明,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
漠,mok8,慕各,明,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
源,nguen2,愚袁,疑,元,平,合,山,三等,,,,,,,,,,,,,,,,,,,
濾,lv5,良據,來,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
濫,lam5,盧瞰,來,談,去,開,咸,一等,,,,,,,,,,,,,,,,,,,
滔,thau1,土刀,透,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
溪,khei1,苦奚,溪,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
溜,liu5,力救,來,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
滾,gun4,古本,見,魂,上,合,臻,一等,,,,,,,,,,,,,,,,,,,
濱,bjen1,必鄰,幫,真,平,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
粱,lioong2,吕張,來,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
灘,thang1,他干,透,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
慎,zen5,時刃,禪,真,去,開,臻,三等,,,,,,,,,,,,,,,,,,,
譽,iv6,羊洳,以,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
塞,sai6 sok7,先代,心,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
塞,sok7,蘇則,心,德,入,開,曾,一等,,,,,,,,,,,,,,,,,,,
謹,gian4,居隱,見,欣,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
福,fouk7,方六,非,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
群,gun2,渠云,群,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
殿,dien5,堂練,定,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
辟,pheik8,芳辟,滂,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
障,dzioong6,之亮,章,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
嫌,iem2,戸兼,匣,添,平,開,咸,四等,,,,,,,,,,,,,,,,,,,
嫁,ga6,古訝,見,麻,去,開,假,二等,,,,,,,,,,,,,,,,,,,
疊,diap8,徒協,定,帖,入,開,咸,四等,,,,,,,,,,,,,,,,,,,
縫,vaong2,符容,奉,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
纏,dzien2,直連,澄,仙,平,開,山,三等,,,,,,,,,,,,,,,,,,,
靜,zian3,疾郢,從,清,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
碧,beik7 biak7,彼役,幫,昔,入,合,梗,三等,,,,,,,,,,,,,,,,,,,
碧,biak7,筆戟,幫,昔,入,開,梗,三等,兩韻皆有,,,,,,,,,,,,,,,,,,
璃,li2,呂支,來,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
牆,zioong2,在良,從,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
撇,phiat7,普蔑,滂,屑,入,開,山,四等,,,,,,,,,,,,,,,,,,,
摜,guang5,古患,見,删,去,合,山,二等,,,,,,,,,,,,,,,,,,,
嘉,ga1,古牙,見,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
摧,zuai1,昨回,從,灰,平,合,蟹,一等,方言多為tsh聲母，依照韻書,,,,,,,,,,,,,,,,,,
截,ziat7,昨結,從,屑,入,開,山,四等,縉雲話中保留完好,,,,,,,,,,,,,,,,,,
誓,zei5,時制,禪,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
境,gian4,居影,見,庚,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
摘,dzak7,陟革,知,麥,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
摔,suit7,所律,生,術,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
聚,zu5,才句,從,虞,去,合,遇,三等,另有上聲,,,,,,,,,,,,,,,,,,
蔽,bei6,必袂,幫,祭,去,開,蟹,重钮四等,,,,,,,,,,,,,,,,,,,
慕,mo5,莫故,明,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
暮,mo5,莫故,明,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
蔑,miat8,莫結,明,屑,入,開,山,四等,,,,,,,,,,,,,,,,,,,
模,mo2,莫胡,明,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
榴,liu2,力求,來,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
榜,bong4,北朗,幫,唐,上,開,宕,一等,,,,,,,,,,,,,,,,,,,
榨,dza5,側駕,莊,麻,去,開,假,二等,,,,,,,,,,,,,,,,,,,
歌,ga1,古俄,見,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
遭,dzau1,作曹,精,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
酷,khok8,苦沃,溪,沃,入,合,通,一等,,,,,,,,,,,,,,,,,,,
釀,nioong5,女亮,娘,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
酸,suang1,素官,心,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
磁,zi2,牆之,從,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
願,nguen5,魚怨,疑,元,去,合,山,三等,,,,,,,,,,,,,,,,,,,
需,su1,相俞,心,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
弊,bei5,毗祭,並,祭,去,開,蟹,重钮四等,,,,,,,,,,,,,,,,,,,
裳,zioong1,市羊,禪,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
顆,kua4,苦果,溪,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
嗽,siu6 seu6,蘇奏,心,侯,去,開,流,一等,,,,,,,,,,,,,,,,,,,
蜻,tshian1,倉經,清,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
蠟,lap7,盧盍,來,盍,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
蠅,ian2,余陵,以,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
蜘,dzi1,陟離,知,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
賺,dzam5,佇陷,澄,咸,去,開,咸,二等,,,,,,,,,,,,,,,,,,,
鍬,tshieu1,此遥,清,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
鍛,duang5,丁貫,端,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
舞,mu3,文甫,微,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
穩,un4,烏本,影,魂,上,合,臻,一等,,,,,,,,,,,,,,,,,,,
算,suang6,蘇貫,心,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
籮,la2,魯何,來,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
管,guang4,古滿,見,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
僚,lio2,落蕭,來,蕭,平,開,效,四等,,,,,,,,,,,,,,,,,,,
鼻,bi5,毗至,並,支,去,開,止,三等,,,,,,,,,,,,,,,,,,,
魄,phak8,普伯,滂,陌,入,開,梗,二等,詩韻中未發現有鐸例,,,,,,,,,,,,,,,,,,
貌,mao5,莫敎,明,肴,去,開,效,二等,,,,,,,,,,,,,,,,,,,
膜,mok7,慕各,明,鐸,入,開,宕,一等,另可模韻，證明鐸模通用o,,,,,,,,,,,,,,,,,,
膊,phok8,匹各,滂,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
膀,bong2,步光,並,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
鮮,sien1 sien4,相然,心,仙,平,開,山,三等,,,,,,,,,,,,,,,,,,,
鮮,sien4,息淺,心,仙,上,開,山,三等,,,,,,,,,,,,,,,,,,,
疑,ngi2,語其,疑,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
饅,muang2,母官,明,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
裹,gua4,古火,見,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
敲,khao1,苦交,溪,肴,平,開,效,二等,,,,,,,,,,,,,,,,,,,
豪,au2,胡刀,匣,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
膏,gau1 gau6,古勞,見,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
膏,gau6,古到,見,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
遮,dzia1,正奢,章,麻,平,開,假,三等,,,,,,,,,,,,,,,,,,,
腐,vu4,扶雨,奉,虞,上,合,遇,三等,或為4聲,,,,,,,,,,,,,,,,,,
瘦,siu6,所祐,生,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
辣,lat7,盧達,來,曷,入,開,山,一等,,,,,,,,,,,,,,,,,,,
竭,giat7,其謁,群,薛,入,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
端,duang1,多官,端,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
旗,gi2,渠之,群,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
精,dzian1,子盈,精,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
歉,khiem6,詰念,溪,添,去,開,咸,四等,,,,,,,,,,,,,,,,,,,
熄,seik7,相即,心,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
熔,iaong2,餘封,以,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
漆,tshit7,親吉,清,質,入,開,臻,三等,,,,,,,,,,,,,,,,,,,
漂,phieu1 phieu4 phieu6,撫招,滂,宵,平,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
漂,phieu4,匹沼,滂,宵,上,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
漂,phieu6,匹妙,滂,宵,去,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
漫,muang5,莫半,明,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
滴,deik8,都歷,端,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
演,ien3,以淺,以,仙,上,開,山,三等,,,,,,,,,,,,,,,,,,,
漏,liu5 leu5,盧候,來,侯,去,開,流,一等,詩韻為liu5？,,,,,,,,,,,,,,,,,,
慢,mang5,謨晏,明,删,去,開,山,二等,,,,,,,,,,,,,,,,,,,
寨,zai6,犲夬,崇,夬,去,開,蟹,二等,,,,,,,,,,,,,,,,,,,
賽,sai6,先代,心,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
察,tshat7,初八,初,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
蜜,mit8,彌畢,明,質,入,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
譜,bo4,博古,幫,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
嫩,nun5,奴困,泥,魂,去,合,臻,一等,,,,,,,,,,,,,,,,,,,
翠,tshui6,七醉,清,脂,去,合,止,三等,,,,,,,,,,,,,,,,,,,
熊,iaong2,羽弓,云,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
凳,dan6,都鄧,端,登,去,開,曾,一等,,,,,,,,,,,,,,,,,,,
騾,lua2,落戈,來,戈,平,合,果,一等,,,,,,,,,,,,,,,,,,,
縮,souk7,所六,生,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
慧,uei5,胡桂,匣,齊,去,合,蟹,四等,,,,,,,,,,,,,,,,,,,
撕,sei1 si1,先稽,心,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
